Dia;Hora;Temp
104;1300;41.47
104;1400;44.1
104;1500;44.85
104;1600;42.31
104;1700;36.38
104;1800;33.18
104;1900;31.11
104;2000;28.98
104;2100;27.53
104;2200;26.28
104;2300;25.31
104;2400;24.88
105;100;24.76
105;200;24.17
105;300;23.46
105;400;22.7
105;500;22.22
105;600;22.71
105;700;26.22
105;800;31.06
105;900;34.46
105;1000;36.78
105;1100;38.18
105;1200;38.77
105;1300;42.1
105;1400;43.81
105;1500;44.24
105;1600;42.79
105;1700;40.37
105;1800;33.9
105;1900;30.03
105;2000;27.8
105;2100;26.74
105;2200;26.16
105;2300;25.59
105;2400;25.11
106;100;24.72
106;200;24.32
106;300;24.71
106;400;24.35
106;500;24.5
106;600;24.42
106;700;28.05
106;800;29.57
106;900;30.42
106;1000;29.21
106;1100;34.49
106;1200;34.99
106;1300;34.87
106;1400;36.37
106;1500;35.69
106;1600;32.3
106;1700;26.91
106;1800;24.36
106;1900;24.15
106;2000;23.89
106;2100;23.49
106;2200;22.97
106;2300;22.5
106;2400;22.18
107;100;21.99
107;200;21.87
107;300;21.71
107;400;21.6
107;500;21.5
107;600;21.85
107;700;22.62
107;800;26.02
107;900;34.01
107;1000;34.33
107;1100;35.67
107;1200;36.21
107;1300;38.74
107;1400;36.17
107;1500;33.78
107;1600;30.83
107;1700;29.7
107;1800;28.51
107;1900;27.25
107;2000;26.19
107;2100;24.96
107;2200;23.93
107;2300;23.11
107;2400;22.6
108;100;22.2
108;200;21.8
108;300;21.56
108;400;21.45
108;500;21.35
108;600;21.35
108;700;23.7
108;800;28.84
108;900;33.01
108;1000;34.9
108;1100;36.98
108;1200;37.03
108;1300;32.14
108;1400;29.56
108;1500;25.88
108;1600;24.36
108;1700;24.38
108;1800;23.91
108;1900;23.52
108;2000;23.37
108;2100;23.15
108;2200;22.87
108;2300;22.66
108;2400;22.45
109;100;22.35
109;200;22.48
109;300;22.59
109;400;22.44
109;500;22.31
109;600;22.06
109;700;23.7
109;800;25.54
109;900;28.79
109;1000;31.84
109;1100;33.56
109;1200;35.8
109;1300;37.97
109;1400;40.32
109;1500;41.37
109;1600;36.33
109;1700;32.58
109;1800;29.66
109;1900;27.04
109;2000;25.82
109;2100;25.32
109;2200;25.17
109;2300;24.99
109;2400;24.23
110;100;23.66
110;200;23.52
110;300;23.53
110;400;23.49
110;500;22.18
110;600;21.47
110;700;21.3
110;800;21.27
110;900;21.99
110;1000;23.52
110;1100;26.94
110;1200;27.25
110;1300;29.28
110;1400;29.64
110;1500;30.25
110;1600;28.22
110;1700;25.88
110;1800;24.51
110;1900;23.44
110;2000;22.89
110;2100;22.5
110;2200;21.91
110;2300;21.36
110;2400;21.17
111;100;21.45
111;200;21.66
111;300;21.62
111;400;21.46
111;500;21.6
111;600;21.78
111;700;23.41
111;800;30.09
111;900;32.2
111;1000;32.73
111;1100;33.28
111;1200;36.4
111;1300;37.27
111;1400;37.52
111;1500;34.71
111;1600;33.17
111;1700;30.82
111;1800;28.04
111;1900;26.84
111;2000;26.31
111;2100;25.73
111;2200;25.23
111;2300;24.93
111;2400;24.54
112;100;24.28
112;200;24.04
112;300;23.87
112;400;23.69
112;500;23.66
112;600;23.74
112;700;24.61
112;800;26.49
112;900;29.08
112;1000;31.14
112;1100;34.04
112;1200;33.68
112;1300;30.69
112;1400;34
112;1500;34.47
112;1600;34.27
112;1700;32.1
112;1800;27.86
112;1900;26.4
112;2000;25.93
112;2100;25.61
112;2200;25.17
112;2300;24.71
112;2400;24.21
113;100;23.68
113;200;23.5
113;300;23.61
113;400;23.37
113;500;23.08
113;600;22.99
113;700;22.39
113;800;22.25
113;900;24.64
113;1000;27.4
113;1100;29.25
113;1200;31.56
113;1300;33.18
113;1400;31.29
113;1500;32.16
113;1600;32.35
113;1700;34.95
113;1800;29.27
113;1900;26.21
113;2000;25.22
113;2100;25.04
113;2200;25.16
113;2300;24.69
113;2400;23.77
114;100;23.62
114;200;23.24
114;300;22.68
114;400;22.43
114;500;22.18
114;600;22.42
114;700;21.62
114;800;21.76
114;900;25.73
114;1000;29.49
114;1100;29.84
114;1200;30.01
114;1300;30.65
114;1400;31.6
114;1500;31.76
114;1600;29.44
114;1700;27.36
114;1800;25.87
114;1900;24.68
114;2000;23.72
114;2100;23.09
114;2200;23.02
114;2300;23.63
114;2400;23.99
115;100;24
115;200;23.97
115;300;23.7
115;400;23.17
115;500;22.37
115;600;21.54
115;700;23.14
115;800;24.16
115;900;28.05
115;1000;30.93
115;1100;33.26
115;1200;34.21
115;1300;34.94
115;1400;37.52
115;1500;38.03
115;1600;34.01
115;1700;33.07
115;1800;29.31
115;1900;26.88
115;2000;25.75
115;2100;25.2
115;2200;24.58
115;2300;23.83
115;2400;23.78
116;100;23.71
116;200;23.21
116;300;23.25
116;400;23.28
116;500;23.57
116;600;23.91
116;700;24.6
116;800;27.32
116;900;28.76
116;1000;31.1
116;1100;32.92
116;1200;33.69
116;1300;36.57
116;1400;37.52
116;1500;38.67
116;1600;38.81
116;1700;37.04
116;1800;30.8
116;1900;27.72
116;2000;26.02
116;2100;24.97
116;2200;24.76
116;2300;24.43
116;2400;23.31
117;100;22.8
117;200;22.57
117;300;22.75
117;400;23.27
117;500;23.29
117;600;23.17
117;700;24.53
117;800;27.31
117;900;30.18
117;1000;31.93
117;1100;32.9
117;1200;35.02
117;1300;37.11
117;1400;36.64
117;1500;37.25
117;1600;35.56
117;1700;35.15
117;1800;30.65
117;1900;27.6
117;2000;26.12
117;2100;25.32
117;2200;24.53
117;2300;23.89
117;2400;23.75
118;100;23.64
118;200;23.47
118;300;23.36
118;400;23.05
118;500;22.85
118;600;23.01
118;700;24.56
118;800;26.78
118;900;30.43
118;1000;32.24
118;1100;34.54
118;1200;35.09
118;1300;34.09
118;1400;36.54
118;1500;33.97
118;1600;32.87
118;1700;30.16
118;1800;28.54
118;1900;27.59
118;2000;26.62
118;2100;25.66
118;2200;25.15
118;2300;25.07
118;2400;25.15
119;100;25.01
119;200;24.73
119;300;24.38
119;400;24.1
119;500;24.12
119;600;24.02
119;700;24.17
119;800;25.53
119;900;26.46
119;1000;28.74
119;1100;31.54
119;1200;34.16
119;1300;34.88
119;1400;32.14
119;1500;34.17
119;1600;32.99
119;1700;30.3
119;1800;28.4
119;1900;27.51
119;2000;26.31
119;2100;25.63
119;2200;24.17
119;2300;23.47
119;2400;23.29
120;100;23.04
120;200;22.63
120;300;22.47
120;400;22.35
120;500;22.5
120;600;22.54
120;700;23.36
120;800;25.56
120;900;25.83
120;1000;26.47
120;1100;28.17
120;1200;25.34
120;1300;26.23
120;1400;27.87
120;1500;26.89
120;1600;25.79
120;1700;24.12
120;1800;23.23
120;1900;22.56
120;2000;22.31
120;2100;22.47
120;2200;22.71
120;2300;22.56
120;2400;22.33
